V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,Class,Class_num
0.0,0.0,0.066667,0.0,0.047619,0.0,1,b'1',0.0,0.0,0.1,0.0,0.1,0.0,2,b'2',0.0,0.0,0.5,0.111111,0.5,0.111111,2,b'2',0.0,0.0,0.055556,0.0,0.147059,0.0,2,b'2',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.4,0.4,0.666667,0.535185,0.648649,0.387755,b'2',b'2',0.5,0.5,0.722222,0.612654,0.763636,0.553846,b'2',b'2',0.0,0.0,0.5,0.25,0.5,0.25,2,b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',0.791184,0.888243,0.829007,b'2',0.963238,0.333333,0.176471,b'2',0.968334,0.3,0.166667,b'2',0.862592,0.25,0.125,2,0.917281,0.444444,0.1875,2,0.99748,0.967579,Não Duplicado,0
1.0,0.5,0.666667,0.666667,0.375,0.4,2,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.8,0.666667,0.818182,0.779221,0.731707,0.644444,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,3,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Duplicado,1
0.75,0.75,0.977273,0.910714,0.954545,0.8,1,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,0.833333,0.909091,0.909091,0.892857,0.896552,b'3',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Duplicado,1
1.0,0.75,0.857143,0.857143,0.766667,0.774194,2,b'1',0.0,0.0,0.485714,0.133333,0.466667,0.103448,2,b'2',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,0.857143,0.923077,0.923077,0.914286,0.911765,3,b'2',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',0.952529,0.951311,0.964656,0.957252,0.964233,0.95708,b'1',b'1',0.636364,0.583333,0.7706,0.665217,0.754098,0.547945,b'2',b'2',1.0,0.916667,0.956522,0.956522,0.953125,0.95082,b'3',b'2',0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',0.791184,0.888243,0.829007,b'2',0.996014,0.75,0.285714,b'2',0.993957,0.6,0.3125,b'2',0.99949,0.538462,0.277778,2,0.999591,0.583333,0.352941,2,0.999947,1.0,Duplicado,1
0.0,0.0,0.216667,0.0,0.153846,0.0,1,b'1',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.571429,0.444444,0.704514,0.608902,0.607843,0.571429,b'2',b'2',0.857143,0.75,0.844444,0.833333,0.836066,0.806452,b'2',b'2',0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,b'1',0.999758,0.999758,0.999758,0.999758,0.999758,0.999758,b'1',b'1',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',0.791184,0.888243,0.829007,b'2',0.999965,0.666667,0.428571,b'2',0.999807,0.6,0.375,b'2',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Não Duplicado,0
0.0,0.0,0.0,0.0,0.1,0.0,1,b'1',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,0.75,0.857143,0.857143,0.875,0.882353,3,b'2',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,0.857143,0.923077,0.923077,0.941176,0.942857,b'3',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,3,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Duplicado,1
1.0,0.666667,0.8,0.8,0.5,0.529412,2,b'1',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',0.997839,0.5,0.285714,2,0.998815,0.555556,0.333333,2,1.0,0.999994,Duplicado,1
0.0,0.0,0.26,0.023529,0.115385,0.022727,1,b'1',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',0.333333,0.2,0.436111,0.25,0.26087,0.129032,2,b'2',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.666667,0.5,0.677778,0.571429,0.604651,0.470588,b'2',b'2',0.666667,0.5,0.677778,0.571429,0.604651,0.470588,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',0.010309,0.4,0.25,b'2',0.983621,0.4,0.176471,b'2',0.989439,0.5,0.4,b'2',0.983524,0.444444,0.2,2,0.989435,0.555556,0.25,2,0.999609,0.999606,Não Duplicado,0
1.0,1.0,1.0,1.0,1.0,1.0,2,b'2',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.833333,0.833333,0.833333,0.833333,0.75,0.6,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',0.791184,0.888243,0.829007,b'2',0.999693,0.7,0.285714,b'2',0.999912,0.6,0.375,b'2',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Duplicado,1
0.0,0.0,0.360119,0.233333,0.347826,0.25,1,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.875,0.777778,0.835294,0.823529,0.581818,0.631579,b'2',b'2',0.888889,0.888889,0.944444,0.911111,0.980392,0.923077,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',0.999892,0.555556,0.285714,b'2',0.999917,0.6,0.375,b'2',0.99843,0.3125,0.15,2,0.999438,0.538462,0.277778,2,1.0,0.999997,Duplicado,1
