clean_name_trigram_sim,clean_name_including,city_trigram_sim,city_including,zip_trigram_sim,zip_including,street_trigram_sim,street_including,website_trigram_sim,website_including,countryname_trigram_sim,countryname_including,geocoderlocalityname_trigram_sim,geocoderlocalityname_including,geocoderinputaddress_trigram_sim,geocoderinputaddress_including,geocoderoutputaddress_trigram_sim,geocoderoutputaddress_including,geocoderpostalcodenumber_trigram_sim,geocoderpostalcodenumber_including,geocodercountrynamecode_trigram_sim,geocodercountrynamecode_including,phone_trigram,phone_equality,fax_trigram,fax_equality,geocode_coordinates_long_trigram,coordinates_long_trigram,coordinates_long_equality,Class_num
0.0,1,0.0,2,0.111111,2,0.0,2,0.778477,1,0.803013,1,1.0,3,0.535185,2,0.612654,2,0.25,2,1.0,3,0.76457,1,0.647217,1,0.176471,0.125,2,0
0.666667,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.779221,2,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,0.396168,1,1
0.910714,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.909091,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,1
0.857143,2,0.133333,2,1.0,3,0.923077,3,0.778477,1,0.803013,1,0.957252,1,0.665217,2,0.956522,3,0.936303,1,1.0,3,0.76457,1,0.647217,1,0.285714,0.277778,2,1
0.0,1,1.0,3,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.608902,2,0.833333,2,0.936303,1,0.999758,1,0.76457,1,0.647217,1,0.428571,0.396168,1,0
0.0,1,1.0,3,1.0,3,0.857143,3,0.778477,1,0.803013,1,1.0,3,0.923077,3,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,0.396168,1,1
0.8,2,1.0,3,1.0,3,1.0,3,0.778477,1,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.285714,2,1
0.023529,1,1.0,3,1.0,3,0.25,2,0.778477,1,1.0,3,1.0,3,0.571429,2,0.571429,2,1.0,3,1.0,3,0.76457,1,0.647217,1,0.176471,0.2,2,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.833333,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.285714,0.396168,1,1
0.233333,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.823529,2,0.911111,2,1.0,3,1.0,3,0.76457,1,0.647217,1,0.285714,0.15,2,1
0.215385,1,1.0,3,1.0,3,1.0,3,0.778477,1,0.803013,1,1.0,3,0.795455,2,0.911111,2,1.0,3,1.0,3,0.76457,1,0.647217,1,0.285714,0.396168,1,1
0.857143,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.909091,3,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,0.396168,1,1
0.5,1,0.0,2,1.0,3,1.0,3,0.778477,1,0.803013,1,1.0,3,0.714286,2,1.0,3,0.936303,1,1.0,3,0.333333,2,0.647217,1,1.0,0.396168,1,0
0.5,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.803922,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.333333,2,1
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.727273,2,0.5,3,0.936303,1,1.0,3,0.76457,1,0.647217,1,0.176471,0.396168,1,1
0.5,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.930556,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.636364,0.396168,1,1
0.8,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.892857,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.333333,0.545455,2,1
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.833333,2,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,1.0,3,1
1.0,2,1.0,3,1.0,3,1.0,3,0.778477,1,1.0,3,1.0,3,0.824074,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.333333,0.396168,1,1
0.227778,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.490196,2,0.769231,3,1.0,3,1.0,3,0.222222,2,0.647217,1,0.2,0.396168,1,0
0.5,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.666667,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.214286,2,1
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.571429,3,0.5,3,0.936303,1,1.0,3,1.0,3,0.647217,1,0.428571,0.285714,2,1
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,0.957252,1,0.049784,2,0.714286,3,0.936303,1,1.0,3,0.76457,1,0.647217,1,0.538462,0.396168,1,0
0.5,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.727273,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.428571,0.396168,1,1
1.0,2,0.666667,3,1.0,3,1.0,3,0.778477,1,1.0,3,1.0,3,0.87619,2,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,0.333333,0.384615,2,1
1.0,2,0.666667,3,1.0,3,1.0,3,0.857143,3,0.803013,1,1.0,3,0.807692,2,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,0.428571,0.461538,2,1
1.0,2,0.0,2,1.0,3,0.620578,1,0.778477,1,0.803013,1,0.0,2,0.666667,2,0.666667,2,1.0,3,1.0,3,0.76457,1,0.647217,1,0.176471,0.396168,1,0
0.857143,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.727273,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.285714,0.396168,1,1
0.222222,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.333333,2,0.615385,2,1.0,3,1.0,3,0.76457,1,0.647217,1,0.333333,0.416667,2,0
0.857143,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.659341,2,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,0.545455,2,1
0.857143,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.785714,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.210526,2,1
0.357143,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.923077,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.25,0.396168,1,1
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,1.0,3,1
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.793388,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,1
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.666667,3,1.0,3,0.936303,1,1.0,3,0.76457,1,0.647217,1,1.0,0.142857,2,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.857143,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.416667,2,1
0.212698,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.55,2,0.647727,2,1.0,3,1.0,3,0.294118,2,0.647217,1,0.285714,0.396168,1,0
