clean_name_trigram_sim,clean_name_including,city_trigram_sim,city_including,zip_trigram_sim,zip_including,street_trigram_sim,street_including,website_trigram_sim,website_including,countryname_trigram_sim,countryname_including,geocoderlocalityname_trigram_sim,geocoderlocalityname_including,geocoderinputaddress_trigram_sim,geocoderinputaddress_including,geocoderoutputaddress_trigram_sim,geocoderoutputaddress_including,geocoderpostalcodenumber_trigram_sim,geocoderpostalcodenumber_including,geocodercountrynamecode_trigram_sim,geocodercountrynamecode_including,phone_trigram,phone_equality,fax_trigram,fax_equality,geocode_coordinates_long_trigram,coordinates_long_trigram,coordinates_long_equality,Class_num
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.742857,2,0.875,2,1.0,3,1.0,3,0.375,2,0.647217,1,0.333333,0.396168,1,0
0.666667,1,0.854119,1,0.83383,1,0.620578,1,0.267081,2,0.803013,1,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.2,2,0.2,2,1.0,0.396168,1,1
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,0.0,2,0.0,2,0.25,2,0.936303,1,1.0,3,0.76457,1,0.647217,1,0.0,0.396168,1,0
0.034799,1,1.0,3,1.0,3,0.285714,2,0.778477,1,1.0,3,1.0,3,0.615385,2,0.615385,2,1.0,3,1.0,3,0.76457,1,0.647217,1,0.333333,0.384615,2,0
0.4,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,0.396168,1,1
0.75,2,1.0,3,0.571429,2,0.857143,3,0.778477,1,0.803013,1,1.0,3,0.807692,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.416667,2,1
0.25,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.571429,3,0.8,3,0.936303,1,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,0
0.666667,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.5,2,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,1
0.444444,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.666667,3,0.791667,2,0.5,2,0.999758,1,0.76457,1,0.647217,1,0.214286,0.396168,1,1
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.452381,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,0
0.094697,1,1.0,3,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.3125,2,0.666667,3,0.936303,1,1.0,3,0.76457,1,0.647217,1,0.25,0.396168,1,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.933333,3,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,0.363636,2,1
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.0,2,1.0,3,0.675,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,1
0.041667,1,1.0,3,1.0,3,0.472222,2,0.778477,1,0.803013,1,1.0,3,0.857143,2,0.833333,2,1.0,3,1.0,3,0.294118,2,0.294118,2,0.176471,0.2,2,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,0.0,2,0.783333,2,0.5,2,0.936303,1,1.0,3,0.76457,1,0.647217,1,0.117647,0.396168,1,1
0.0,1,1.0,3,1.0,3,1.0,3,0.778477,1,0.803013,1,1.0,3,0.875,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,0
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.461538,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,0
0.0,1,1.0,3,1.0,3,0.0,2,0.778477,1,0.803013,1,1.0,3,0.545455,2,0.571429,3,0.936303,1,1.0,3,0.76457,1,0.647217,1,0.25,0.396168,1,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.857143,3,1.0,3,1.0,3,1.0,3,0.692308,2,0.647217,1,1.0,0.285714,2,1
0.019865,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.4,3,1.0,3,1.0,3,1.0,3,0.411765,2,0.647217,1,1.0,0.2,2,0
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.577922,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.871795,2,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,0.396168,1,1
0.054371,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.888889,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.307692,2,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,1.0,3,1.0,3,0.936303,1,1.0,3,1.0,3,0.647217,1,1.0,1.0,3,1
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.8,2,1.0,3,1.0,3,1.0,3,0.333333,2,0.647217,1,0.333333,0.583333,2,1
0.0,1,1.0,3,0.83383,1,0.0,2,0.778477,1,1.0,3,1.0,3,0.363636,2,0.5,3,0.936303,1,1.0,3,0.263158,2,0.647217,1,0.357143,0.230769,2,0
1.0,2,1.0,3,1.0,3,1.0,3,0.778477,1,0.803013,1,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.454545,2,1
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.762987,2,0.666667,3,1.0,3,1.0,3,1.0,3,0.647217,1,0.266667,1.0,3,1
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.571429,3,0.5,3,0.936303,1,1.0,3,1.0,3,0.647217,1,0.428571,0.15,2,1
0.571429,2,0.666667,3,0.83383,1,1.0,3,0.778477,1,1.0,3,1.0,3,0.923077,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.538462,0.396168,1,1
0.250794,1,1.0,3,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,1.0,3,1.0,3,0.936303,1,0.999758,1,0.76457,1,0.647217,1,1.0,1.0,3,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.618685,2,0.533333,3,1.0,3,1.0,3,1.0,3,0.647217,1,0.285714,0.285714,2,1
0.333333,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.923077,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,1
0.0,1,0.0,2,0.0,2,0.19359,2,0.778477,1,0.803013,1,0.0,2,0.142622,2,0.259259,2,0.0,2,1.0,3,0.76457,1,0.647217,1,0.0,0.0,2,0
0.020408,1,1.0,3,1.0,3,1.0,3,0.778477,1,0.803013,1,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.583333,0.396168,1,0
0.14228,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.468421,2,0.7,2,1.0,3,1.0,3,0.466667,2,0.647217,1,0.357143,0.396168,1,0
0.666667,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,1.0,3,1.0,3,0.936303,1,1.0,3,1.0,3,0.647217,1,1.0,0.277778,2,1
0.666667,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.8,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,1
0.0,1,1.0,3,1.0,3,0.0,2,0.778477,1,0.803013,1,1.0,3,0.31746,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.157895,2,0.222222,2,1.0,0.396168,1,1
0.75,1,1.0,3,1.0,3,0.218182,2,0.778477,1,1.0,3,1.0,3,0.494118,2,0.5,3,1.0,3,1.0,3,0.76457,1,0.647217,1,0.266667,0.307692,2,1
0.10571,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.393374,2,0.520677,2,1.0,3,1.0,3,0.76457,1,0.647217,1,0.176471,0.2,2,0
0.8,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.880952,2,1.0,3,1.0,3,1.0,3,1.0,3,0.647217,1,1.0,0.396168,1,1
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.909091,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,1
0.4,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.8,2,0.909091,3,0.936303,1,1.0,3,0.76457,1,0.647217,1,0.428571,0.454545,2,1
0.0,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.659341,2,1.0,3,1.0,3,1.0,3,0.375,2,0.647217,1,0.333333,0.396168,1,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.666667,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,1.0,3,1
0.4,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.7,2,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,1
0.0,1,1.0,3,1.0,3,0.047619,2,0.778477,1,0.803013,1,1.0,3,0.54386,2,0.649123,2,1.0,3,1.0,3,0.375,2,0.647217,1,0.176471,0.214286,2,0
0.0,1,1.0,3,1.0,3,0.05,2,0.778477,1,1.0,3,1.0,3,0.457143,2,0.595238,2,1.0,3,1.0,3,0.095238,2,0.647217,1,0.176471,0.2,2,0
0.645294,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.8,3,1.0,3,1.0,3,1.0,3,0.76457,1,0.647217,1,1.0,0.396168,1,1
0.0,1,1.0,3,0.83383,1,0.620578,1,0.778477,1,1.0,3,1.0,3,1.0,3,1.0,3,0.936303,1,1.0,3,0.76457,1,0.647217,1,1.0,0.142857,2,0
1.0,2,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.227273,2,0.363636,3,0.936303,1,1.0,3,1.0,3,0.647217,1,0.25,0.266667,2,1
0.666667,2,0.854119,1,0.83383,1,0.620578,1,0.368122,2,1.0,3,1.0,3,0.348485,2,0.398601,2,0.5,2,1.0,3,0.76457,1,0.647217,1,0.266667,0.396168,1,1
0.066667,1,0.854119,1,0.83383,1,0.620578,1,0.778477,1,0.803013,1,1.0,3,0.363636,2,0.442857,2,1.0,3,1.0,3,0.047619,2,0.647217,1,0.176471,0.396168,1,0
